word,joy_score
adventure,1.0
excited,1.0
FREE,1.0
welcoming,1.0
amazing,1.0
adorable,1.0
awesome,1.0
Congratulations,1.0
Adventure,1.0
Wonderful,1.0
blessings,1.0
blessed,1.0
colorful,1.0
wonderful,1.0
exciting,1.0
happy,1.0
goodies,1.0
Awesome,1.0
relaxing,1.0
rewards,1.0
fantastic,1.0
tips,1.0
Ready,1.0
🙂,1.0
fun,1.0
enjoying,1.0
delighted,1.0
Fantastic,1.0
Fun,1.0
fabulous,1.0
enjoyable,1.0
rewarding,1.0
thrilled,1.0
energetic,1.0
welcomed,0.9999999403953552
bonus,0.9999999403953552
eager,0.9999999403953552
yummy,0.9999999403953552
playful,0.9999999403953552
LOVE,0.9999998807907104
Excellent,0.9999998807907104
stylish,0.9999998807907104
adventures,0.9999998807907104
confident,0.9999998807907104
Amazing,0.9999998807907104
Great,0.9999998807907104
terrific,0.9999998807907104
welcome,0.9999998807907104
Enjoy,0.9999998807907104
colors,0.9999998807907104
