word,Joy_Score
cups,1.0
tasty,1.0
rewarding,1.0
Fun,1.0
grateful,1.0
feminine,1.0
encouraging,1.0
proud,1.0
enjoys,1.0
beautiful,1.0
sponsors,1.0
shiny,1.0
breeze,1.0
cute,1.0
enjoyed,1.0
Super,1.0
celebrates,1.0
delightful,1.0
tongue,1.0
smooth,1.0
adventures,1.0
unlimited,1.0
adventure,1.0
Adventures,1.0
enjoying,1.0
awesome,1.0
spacious,1.0
impressive,1.0
friendly,1.0
wonders,1.0
delighted,1.0
sturdy,1.0
playful,1.0
complimentary,1.0
thrilled,1.0
cooperation,1.0
welcome,1.0
groove,1.0
neat,1.0
welcomed,1.0
eager,1.0
encourages,1.0
energetic,1.0
engaging,1.0
cup,1.0
vibrant,1.0
welcoming,1.0
inviting,1.0
relaxing,1.0
bonus,1.0
