word,Joy_Score
tragedy,3.348958332871632e-10
suffer,3.08398112602859e-10
lose,3.070218246303824e-10
Sadly,2.8738189605803655e-10
affected,2.7797114610095264e-10
wounded,2.6922675200324875e-10
destroyed,2.2798479770713698e-10
cemetery,2.048821667877121e-10
confused,1.82066153819882e-10
abandoned,1.5651019369400387e-10
bitter,1.5504036943170263e-10
disappointed,1.540340771599702e-10
incomplete,1.2574388752462085e-10
upset,1.1804685007277271e-10
replace,1.1439703351268093e-10
missing,8.890203850864253e-11
pathetic,7.685573011340097e-11
twisted,7.676123625621756e-11
badly,6.98913635299725e-11
hurting,5.167226022062543e-11
cruel,5.028366958925723e-11
tragic,4.9428895004810514e-11
killed,4.012819243559562e-11
broken,3.159264516661153e-11
buried,2.8197760099102354e-11
blame,2.6763893185011156e-11
damaged,2.606384726100419e-11
worse,2.5846517634486865e-11
dead,2.3448168753881227e-11
missed,2.1122692137054422e-11
deceased,2.060632740830126e-11
hurt,1.3955815669763894e-11
miss,1.270979935880101e-11
unable,9.945808066014195e-12
dies,9.69704871955912e-12
pity,6.5248973758758044e-12
loses,6.524113280864663e-12
delete,5.888853640834135e-12
lonely,2.101189664968639e-12
lost,1.9123598104381356e-12
loss,1.0794358028948237e-12
sadly,5.339743404386699e-13
funeral,2.0712184951084817e-13
sad,1.6151600998499938e-13
sadness,1.49438011336038e-13
died,1.309516731162752e-13
grief,2.0181232512493825e-14
deleted,1.1340182129926032e-14
sorry,2.6043107930341213e-16
Sorry,6.756662706239346e-17
