word,joy_score
illness,8.90699869415812e-09
decline,8.820086883076783e-09
dies,8.35091285011913e-09
forgotten,8.320720112919844e-09
wont,7.473484053832635e-09
Sadly,7.451863126561875e-09
dead,7.391883993790316e-09
deceased,6.757192583251026e-09
declined,6.743801961306417e-09
buried,6.189027512704115e-09
tragedy,5.6694999805984025e-09
sucks,5.418652637700916e-09
killed,4.727720437358585e-09
disappeared,4.672801257044057e-09
pathetic,4.457993085793532e-09
regret,4.335893422080517e-09
lonely,3.889547350865996e-09
destroyed,3.1196334404626214e-09
badly,2.8926832040809813e-09
losses,2.88785950708359e-09
lose,2.535131660152956e-09
suffer,2.322182668379469e-09
bitter,2.3190886988544435e-09
hurting,2.2256818610344453e-09
broken,1.8912260646430923e-09
missed,1.5233603267716944e-09
miss,1.3524648068141687e-09
hurts,1.3356810102393979e-09
blame,1.0231727687326497e-09
losing,9.496232689087947e-10
suffered,9.423842817213313e-10
worse,8.376880300531298e-10
tragic,6.482528958073885e-10
incomplete,5.336676656142458e-10
unable,4.6176104606665547e-10
delete,3.635412249014536e-10
damaged,3.2887784162660694e-10
sadness,2.276241556353753e-10
lost,2.2040765046416055e-10
hurt,2.000872106888707e-10
grief,1.5124160257506958e-10
loses,1.4490102173692065e-10
funeral,1.265868521116431e-10
sad,4.4467620557986365e-11
loss,3.8015660064338874e-11
sadly,3.052634880984506e-11
died,2.32742158878807e-11
deleted,5.4971244570212185e-12
Sorry,2.1942465205926354e-12
sorry,1.8522891553907073e-12
