word,Joy_Score
disease,0.00018385502335149795
lost,0.00018136395374312997
trauma,0.00017892420873977244
terrible,0.00017639830184634775
absence,0.00015830318443477154
damages,0.00015779501700308174
damage,0.00014823340461589396
consequences,0.00014095201913733035
regret,0.00013550928269978613
losing,0.00013088232662994415
unfair,0.0001247330365004018
absent,0.00012453978706616908
wounds,0.00012124012573622167
grief,0.00011445162090240046
sadly,0.00010472696885699406
horrible,9.249818685930222e-05
injured,9.232520096702501e-05
affected,9.214068268192932e-05
sadness,8.929295290727168e-05
worse,8.28013799036853e-05
failing,8.012574107851833e-05
unfortunate,7.491592259611934e-05
badly,7.244219887070358e-05
poor,6.814059452153742e-05
wounded,6.751836190233007e-05
vulnerable,6.488601502496749e-05
depressed,6.429373024730012e-05
neglected,6.332623161142692e-05
tragedy,6.22350926278159e-05
losses,5.40787004865706e-05
neglect,4.869298936682753e-05
broken,4.694096787716262e-05
painful,4.61248419014737e-05
illness,3.982295675086789e-05
damaging,3.598984403652139e-05
Sorry,3.232316885259934e-05
hurt,2.8951692002010532e-05
incomplete,2.2110800273367204e-05
sorry,2.1427365936688147e-05
unable,1.743967914080713e-05
sad,1.5175157386693172e-05
suffer,1.445873476768611e-05
hurts,1.3606876564153936e-05
suffering,1.1983825061179232e-05
damaged,1.0062477485917043e-05
tragic,8.730278750590514e-06
devastating,8.338600309798494e-06
hurting,7.027026640571421e-06
loss,4.7511225602647755e-06
suffered,4.0978593460749835e-06
