word,Joy_Score
poor,5.6298402341781184e-05
victims,5.318315015756525e-05
lack,4.48222053819336e-05
missed,4.467859980650246e-05
worse,4.3199655920034274e-05
died,3.906216079485603e-05
closure,3.788917820202187e-05
vulnerable,3.418503183638677e-05
Sadly,3.417697735130787e-05
hurt,3.179560735588893e-05
unfair,3.1749823392601684e-05
NCAA,2.5175097107421607e-05
missing,2.408804175502155e-05
trauma,2.328480150026735e-05
absence,2.2777350750402547e-05
unfortunately,2.158181268896442e-05
badly,2.0998611944378354e-05
depressed,1.9459688701317646e-05
affected,1.9159808289259672e-05
funeral,1.556041752337478e-05
absent,1.357963901682524e-05
wounds,1.3255663361633196e-05
failing,1.2668545423366595e-05
suffer,1.1411608284106478e-05
neglect,9.898993994283956e-06
damaging,8.886349860404152e-06
hurting,8.869764315022621e-06
hurts,8.280451766040642e-06
tragedy,7.306775842153002e-06
neglected,6.7062105699733365e-06
grief,6.425897936424008e-06
consequences,6.181471690069884e-06
broken,6.1152500165917445e-06
unfortunate,5.494375272974139e-06
sadness,4.171101409156108e-06
painful,3.7678139506169828e-06
illness,3.6157466638542246e-06
regret,3.469303464953555e-06
suffering,3.4446468362148153e-06
sadly,2.8562071747728623e-06
damaged,2.7883304483111715e-06
suffered,2.084458401441225e-06
unable,1.8091020592692075e-06
loss,1.7884107137433602e-06
devastating,1.3075117522021173e-06
incomplete,7.878223868829082e-07
tragic,5.78414699248242e-07
sad,4.503745003603399e-07
Sorry,3.5067782278019877e-07
sorry,3.487135415980447e-07
